household_email	power_number	energy_source	kilowatt_hours	battery
dtagala@kan-code.com	1	solar	116	
dthyberg@scottech.com	1	solar	67	13
dtillotson@newex.com	1	solar	29	33
dtolfree@groovestreet.com	1	wind-turbine	28	26
dtollner@fasehatice.com	1	solar	77	
dtreston@opentech.com	1	solar	15	
dvillanueva@konex.com	1	solar	42	56
dvizarro@singletechno.com	1	solar	164	15
dwardrip@gogozoom.com	1	solar	16	
dweirather@codehow.com	1	solar	57	19
dwenner@xx-holding.com	1	solar	15	25
dwenzinger@zoomit.com	1	solar	56	
dwenzinger@zoomit.com	2	solar	60	11
dwieser@lexiqvolax.com	1	solar	37	18
dwieser@scotfind.com	1	solar	38	
dwildfong@opentech.com	1	solar	21	24
dwolfgramm@warephase.com	1	solar	90	
dyaw@condax.com	1	solar	63	73
dyglesias@ontomedia.com	1	wind-turbine	123	18
dyori@iselectrics.com	1	solar	17	20
dyum@plusstrip.com	1	solar	15	16
dzepp@isdom.com	1	solar	102	52
dzepp@iselectrics.com	1	wind-turbine	133	35
dzepp@labdrill.com	1	solar	93	
eacey@opentech.com	1	solar	21	17
eamigon@lexiqvolax.com	1	solar	62	28
eandreason@konex.com	1	solar	71	
eangalich@donware.com	1	solar	41	20
earias@newex.com	1	solar	28	28
earias@newex.com	2	solar	109	
ebaltimore@labdrill.com	1	solar	122	16
ebirkner@plussunin.com	1	solar	83	14
eblunk@hatfan.com	1	solar	26	11
ebrucato@konex.com	1	solar	75	
eburnard@newex.com	1	solar	56	
ebuvens@finhigh.com	1	solar	29	
ecanlas@xx-holding.com	1	wind-turbine	27	18
ecartan@xx-holding.com	1	solar	22	10
ecork@sunnamplex.com	1	solar	99	17
ecryer@konmatfix.com	1	wind-turbine	168	
edallen@hatfan.com	1	solar	20	
edallen@hatfan.com	2	solar	88	
edaufeldt@rantouch.com	1	solar	52	
edegonia@j-texon.com	1	solar	19	44
edickerson@dambase.com	1	solar	74	29
edopico@golddex.com	1	solar	258	117
edrymon@condax.com	1	solar	18	77
edrymon@ron-tech.com	1	solar	86	22
eehmann@funholding.com	1	solar	43	
eferencz@sonron.com	1	solar	154	
efigeroa@zoomit.com	1	solar	51	31
eflister@dalttechnology.com	1	solar	160	66
eflosi@newex.com	1	solar	142	
egillaspie@blackzim.com	1	solar	172	32
eglick@dalttechnology.com	1	solar	59	14
egotter@rantouch.com	1	wind-turbine	61	26
ehoopengardner@silis.com	1	solar	24	18
eisaacs@y-corporation.com	1	solar	109	
ejulia@konex.com	1	solar	36	23
ekarpel@codehow.com	1	solar	44	29
ekarpin@singletechno.com	1	solar	51	17
ekeetch@dalttechnology.com	1	solar	41	
ekiel@stanredtax.com	1	solar	54	
ekitty@donquadtech.com	1	solar	63	
ekitty@mathtouch.com	1	wind-turbine	20	21
ekorando@konmatfix.com	1	solar	52	22
elabreche@iselectrics.com	1	solar	84	55
elary@scotfind.com	1	wind-turbine	202	27
elatzke@blackzim.com	1	solar	74	
elindall@domzoom.com	1	solar	172	67
elipke@hatfan.com	1	solar	85	43
elipkin@codehow.com	1	solar	49	32
elorens@zencorporation.com	1	solar	57	33
elother@y-corporation.com	1	solar	42	11
emanno@ontomedia.com	1	solar	109	44
ematuszak@toughzap.com	1	solar	86	
emaybury@warephase.com	1	solar	104	25
emaynerich@iselectrics.com	1	solar	57	37
emclaird@donware.com	1	solar	29	
emconnell@plussunin.com	1	solar	21	20
emirafuentes@mathtouch.com	1	solar	15	
emiro@conecom.com	1	solar	135	78
emiro@rantouch.com	1	solar	111	17
emorasca@zoomit.com	1	solar	31	
emorocco@inity.com	1	solar	241	84
emugnolo@dontechi.com	1	solar	68	13
enewville@ganjaflex.com	1	solar	102	
enewville@kinnamplus.com	1	solar	66	79
eostolaza@scottech.com	1	solar	56	38
eostrosky@y-corporation.com	1	solar	18	
epalaspas@opentech.com	1	solar	92	39
epaskin@streethex.com	1	wind-turbine	22	28
epedrozo@conecom.com	1	solar	52	44
eperigo@iselectrics.com	1	solar	63	11
epoquette@openlane.com	1	solar	172	121
erentfro@mathtouch.com	1	solar	27	
erhoden@betasoloin.com	1	solar	166	58
esaylors@warephase.com	1	solar	62	25
esaylors@warephase.com	2	solar	17	20
eschoeneck@hottechi.com	1	solar	125	51
eschoeneck@zotware.com	1	wind-turbine	28	17
eseewald@betasoloin.com	1	solar	67	15
eseewald@goodsilron.com	1	solar	74	31
esetter@goodsilron.com	1	solar	95	48
eshin@zoomit.com	1	solar	39	35
esteffensmeier@streethex.com	1	solar	26	12
esteier@kan-code.com	1	solar	72	
estem@newex.com	1	solar	122	45
estimmel@lexiqvolax.com	1	solar	28	29
esweely@ontomedia.com	1	solar	21	10
etheodorov@golddex.com	1	solar	156	
etheodorov@newex.com	1	solar	51	
ethreets@gogozoom.com	1	solar	242	77
etomasulo@groovestreet.com	1	wind-turbine	16	18
etromblay@dalttechnology.com	1	wind-turbine	37	13
etromblay@dambase.com	1	wind-turbine	54	
evonasek@bioplex.com	1	solar	26	14
evonasek@bioplex.com	2	solar	91	
evonasek@bioplex.com	3	wind-turbine	94	19
eweglarz@konex.com	1	solar	119	18
ewieser@zencorporation.com	1	solar	57	17
ewolfgramm@bioplex.com	1	solar	24	
ezagen@scottech.com	1	solar	136	62
ezane@y-corporation.com	1	solar	18	
ezane@zathunicon.com	1	wind-turbine	86	18
fadkin@plexzap.com	1	wind-turbine	18	18
fauffrey@plussunin.com	1	solar	139	132
fbartolet@xx-zobam.com	1	solar	61	39
fbartolet@xx-zobam.com	2	solar	85	26
fbeech@silis.com	1	solar	146	53
fberlanga@dontechi.com	1	wind-turbine	77	33
fbookamer@zoomit.com	1	solar	17	
fbrachle@treequote.com	1	solar	60	
fbrachle@treequote.com	2	wind-turbine	77	58
fbrossart@funholding.com	1	solar	43	38
fbutzen@xx-zobam.com	1	solar	24	
fbuvens@streethex.com	1	wind-turbine	208	78
fcanlas@hatfan.com	1	wind-turbine	146	
fcantres@betatech.com	1	solar	24	15
fcaudy@ontomedia.com	1	solar	45	17
fcaudy@ontomedia.com	2	solar	63	21
fcentini@statholdings.com	1	solar	24	50
fcoody@plusstrip.com	1	solar	74	26
fcraghead@hatfan.com	1	solar	94	18
fcronauer@finjob.com	1	solar	50	
fcrupi@betasoloin.com	1	solar	54	134
fdarakjy@zencorporation.com	1	solar	65	
fduenas@dalttechnology.com	1	solar	48	
fduenas@dalttechnology.com	2	solar	62	33
femard@opentech.com	1	solar	162	122
ffarrow@plussunin.com	1	solar	167	75
ffeichtner@dambase.com	1	solar	95	30
fferencz@zotware.com	1	wind-turbine	31	
fgehrett@labdrill.com	1	solar	64	38
fgillian@mathtouch.com	1	wind-turbine	18	13
fgreenbush@bioplex.com	1	solar	15	
fgreenbush@lexiqvolax.com	1	solar	58	19
fgwalthney@bioholding.com	1	wind-turbine	109	38
fhalsey@iselectrics.com	1	wind-turbine	16	16
fhaufler@zoomit.com	1	solar	44	
fheimann@year-job.com	1	solar	118	27
fheintzman@funholding.com	1	solar	21	
fheintzman@funholding.com	2	solar	43	29
fhollack@sonron.com	1	solar	114	33
fhughey@green-plus.com	1	solar	102	10
fisenhower@lexiqvolax.com	1	solar	20	18
fjayson@kan-code.com	1	solar	77	
fjillson@domzoom.com	1	solar	125	93
fklang@ganjaflex.com	1	solar	76	
fkoppinger@zencorporation.com	1	solar	151	
flapage@stanredtax.com	1	solar	24	14
floader@rundofase.com	1	solar	20	
fmadarang@isdom.com	1	solar	162	11
fmai@rundofase.com	1	wind-turbine	98	35
fmaisto@labdrill.com	1	wind-turbine	40	16
fmalvin@lexiqvolax.com	1	solar	30	
fmalvin@sonron.com	1	solar	125	
fmaybury@zumgoity.com	1	solar	16	16
fmaynerich@toughzap.com	1	solar	93	106
fmcnease@zencorporation.com	1	solar	123	
fmirafuentes@fasehatice.com	1	solar	114	
fmirafuentes@zotware.com	1	wind-turbine	84	14
fmiro@golddex.com	1	solar	82	17
fmorocco@inity.com	1	solar	82	37
fmugnolo@donquadtech.com	1	solar	149	30
fnachor@zotware.com	1	solar	73	
fneither@zumgoity.com	1	wind-turbine	61	115
fohms@konex.com	1	wind-turbine	51	61
fparvis@zencorporation.com	1	solar	81	
fpaulas@codehow.com	1	solar	131	13
fpolidori@sonron.com	1	solar	88	
frhym@openlane.com	1	wind-turbine	133	90
frodefer@dontechi.com	1	wind-turbine	42	17
frodefer@rantouch.com	1	solar	107	80
fruta@betasoloin.com	1	solar	113	35
fruta@betasoloin.com	2	solar	125	21
fryser@kinnamplus.com	1	solar	151	
fsamu@hottechi.com	1	solar	19	19
fsarbacher@bioplex.com	1	solar	78	40
fsayaphon@zotware.com	1	solar	141	
fschmierer@zencorporation.com	1	solar	110	55
fsemidey@nam-zim.com	1	solar	18	
fsengbusch@statholdings.com	1	wind-turbine	105	
fsengbusch@statholdings.com	2	solar	19	35
fshin@sunnamplex.com	1	solar	38	11
fstem@isdom.com	1	solar	110	29
ftagala@codehow.com	1	solar	31	24
ftawil@doncon.com	1	solar	79	36
ftomasulo@golddex.com	1	solar	130	
ftomasulo@iselectrics.com	1	solar	97	10
fvinning@dalttechnology.com	1	solar	17	30
fwolfgramm@bioholding.com	1	solar	24	27
gacey@y-corporation.com	1	solar	84	16
garceo@faxquote.com	1	wind-turbine	59	
gasar@cancity.com	1	solar	94	14
gbarfield@green-plus.com	1	solar	119	
gbarfield@zotware.com	1	solar	16	76
gbartolet@scotfind.com	1	solar	38	
gbartolet@stanredtax.com	1	solar	42	16
gbartolet@stanredtax.com	2	solar	45	30
gbatman@dambase.com	1	solar	94	34
gbennick@donquadtech.com	1	solar	77	24
gbergesen@zencorporation.com	1	solar	24	
gbergesen@zencorporation.com	2	solar	102	20
gbiddy@iselectrics.com	1	solar	41	20
gbookamer@hatfan.com	1	solar	52	45
gborgman@openlane.com	1	solar	137	
gbowley@iselectrics.com	1	solar	82	27
gbowley@stanredtax.com	1	solar	91	16
gbubash@ganjaflex.com	1	wind-turbine	118	
gbutzen@labdrill.com	1	solar	23	23
gcampain@blackzim.com	1	solar	143	79
gcandlish@newex.com	1	solar	66	
gcanlas@betatech.com	1	solar	129	11
gcantres@bioplex.com	1	solar	83	11
gcantres@y-corporation.com	1	solar	23	
gcaudy@lexiqvolax.com	1	solar	155	
gcaudy@lexiqvolax.com	2	solar	24	27
gcetta@kinnamplus.com	1	solar	51	49
gchaffins@funholding.com	1	solar	204	69
gcloney@warephase.com	1	solar	126	27
gcolaizzo@warephase.com	1	solar	33	17
gcomnick@openlane.com	1	solar	25	
gcoody@stanredtax.com	1	solar	118	43
gcryer@lexiqvolax.com	1	solar	138	16
gdallen@ron-tech.com	1	solar	106	51
gdaufeldt@zumgoity.com	1	solar	162	143
gdinos@donware.com	1	solar	47	19
gdubaldi@rantouch.com	1	solar	35	27
gehmann@opentech.com	1	solar	23	24
geroman@plussunin.com	1	solar	18	30
gfillingim@bioplex.com	1	solar	120	
gfillingim@ontomedia.com	1	wind-turbine	54	
gfishburne@ron-tech.com	1	solar	57	28
gfishburne@ron-tech.com	2	solar	117	18
gflosi@hottechi.com	1	wind-turbine	120	
ggotter@zumgoity.com	1	solar	85	14
ggotter@zumgoity.com	2	solar	50	35
ggreenbush@scottech.com	1	solar	56	
ggreenbush@scottech.com	2	wind-turbine	66	26
ggrenet@ganjaflex.com	1	solar	21	13
ggwalthney@konmatfix.com	1	wind-turbine	27	10
ghengel@dalttechnology.com	1	wind-turbine	202	
ghoffis@codehow.com	1	solar	65	
ghollack@faxquote.com	1	solar	142	
ghollack@goodsilron.com	1	solar	217	13
ghudnall@scottech.com	1	wind-turbine	98	
ginouye@finhigh.com	1	solar	177	
gjeanty@zathunicon.com	1	solar	69	42
gjulia@doncon.com	1	solar	44	20
gjurney@zotware.com	1	solar	16	21
gkaniecki@gogozoom.com	1	solar	197	
gkitzman@sumace.com	1	solar	76	
gkolmetz@kinnamplus.com	1	wind-turbine	52	13
gkorando@streethex.com	1	solar	234	26
glietz@codehow.com	1	wind-turbine	137	125
glipke@fasehatice.com	1	solar	39	17
gloader@donware.com	1	solar	27	
gloder@streethex.com	1	solar	76	67
glouissant@year-job.com	1	wind-turbine	59	110
glukasik@scotfind.com	1	solar	49	20
glukasik@scotfind.com	2	solar	47	38
gmadarang@lexiqvolax.com	1	solar	23	
gmcdoniel@golddex.com	1	solar	243	42
gmelnyk@warephase.com	1	solar	37	21
gmoyd@nam-zim.com	1	solar	56	21
gnicka@opentech.com	1	wind-turbine	23	32
gnicolozakes@bioholding.com	1	solar	63	28
gnunlee@bioholding.com	1	wind-turbine	18	43
gohms@kinnamplus.com	1	wind-turbine	31	
gostolaza@scotfind.com	1	solar	33	28
gostolaza@toughzap.com	1	solar	75	27
gpapasergi@zencorporation.com	1	solar	22	30
gpaprocki@scotfind.com	1	solar	17	
gpedrozo@conecom.com	1	solar	45	26
gperigo@rangreen.com	1	solar	68	18
gperin@ontomedia.com	1	solar	63	
gpoquette@stanredtax.com	1	solar	20	34
gpoquette@stanredtax.com	2	solar	161	23
gradde@y-corporation.com	1	solar	26	
graymo@donware.com	1	wind-turbine	135	127
grentfro@zoomit.com	1	solar	98	
griopelle@codehow.com	1	wind-turbine	30	
growling@rangreen.com	1	solar	73	34
growling@rangreen.com	2	solar	42	16
groyster@plussunin.com	1	solar	40	29
gruta@streethex.com	1	solar	102	158
gsahagun@streethex.com	1	solar	63	
gsama@zotware.com	1	solar	104	25
gsamu@hatfan.com	1	wind-turbine	90	17
gsaras@warephase.com	1	solar	89	40
gsawchuk@labdrill.com	1	solar	143	18
gschnitzler@groovestreet.com	1	solar	117	45
gschnitzler@toughzap.com	1	solar	60	
gschnitzler@toughzap.com	2	solar	181	10
gschoeneck@isdom.com	1	solar	85	52
gscriven@plusstrip.com	1	solar	38	45
gshealy@golddex.com	1	solar	44	32
gshin@xx-holding.com	1	wind-turbine	50	26
gshire@iselectrics.com	1	solar	75	22
gslayton@doncon.com	1	solar	16	27
gslusarski@domzoom.com	1	solar	75	26
gsmith@zumgoity.com	1	wind-turbine	19	33
gspringe@zumgoity.com	1	wind-turbine	48	34
gstaback@gogozoom.com	1	solar	97	31
gsteier@zoomit.com	1	solar	101	
gsweely@fasehatice.com	1	solar	98	56
gsweigard@warephase.com	1	solar	50	39
gthyberg@labdrill.com	1	solar	87	16
gthyberg@labdrill.com	2	solar	91	18
gtjepkema@gogozoom.com	1	solar	25	
gtjepkema@gogozoom.com	2	solar	65	48
gtjepkema@gogozoom.com	3	solar	79	12
gtomasulo@finjob.com	1	solar	29	
gupthegrove@rundofase.com	1	wind-turbine	33	
gvizarro@konex.com	1	solar	66	52
gwhobrey@betasoloin.com	1	solar	72	16
gwhobrey@kan-code.com	1	solar	135	36
gwide@rundofase.com	1	wind-turbine	16	
gwildfong@ganjaflex.com	1	solar	93	13
gwolfgramm@rantouch.com	1	solar	123	21
gwolfgramm@rantouch.com	2	solar	29	33
gwrinkles@zotware.com	1	solar	25	
gyaw@statholdings.com	1	solar	45	
gyori@warephase.com	1	solar	78	31
habdallah@newex.com	1	solar	105	31
hagramonte@hottechi.com	1	solar	69	
harceo@rantouch.com	1	wind-turbine	99	92
haredondo@konex.com	1	solar	65	25
hauber@lexiqvolax.com	1	solar	17	34
hauber@rantouch.com	1	solar	108	
hbeech@warephase.com	1	solar	226	106
hborgman@condax.com	1	solar	16	17
hbreland@zumgoity.com	1	solar	38	
hbreland@zumgoity.com	2	solar	122	21
hbrucato@donware.com	1	solar	48	
hbruschke@codehow.com	1	solar	53	
hbuemi@finhigh.com	1	solar	160	
hcanlas@toughzap.com	1	solar	68	20
hcanlas@toughzap.com	2	solar	93	40
hcantres@finhigh.com	1	solar	20	
hcastros@faxquote.com	1	solar	24	29
hcastros@golddex.com	1	solar	31	
hchaffins@labdrill.com	1	solar	67	35
hchavous@bioholding.com	1	solar	59	
hchavous@bioholding.com	2	wind-turbine	68	47
hchavous@bioholding.com	3	solar	23	15
hchickering@zencorporation.com	1	wind-turbine	51	18
hcolaizzo@blackzim.com	1	solar	55	29
hdallen@goodsilron.com	1	solar	28	47
hdaufeldt@zoomit.com	1	solar	15	18
hdaufeldt@zoomit.com	2	solar	126	17
hdegonia@warephase.com	1	solar	18	81
hdeleo@funholding.com	1	solar	21	
hdeleo@funholding.com	2	solar	20	
hdickerson@hottechi.com	1	solar	28	34
hdorshorst@betatech.com	1	solar	133	66
hdubaldi@fasehatice.com	1	wind-turbine	79	17
hehmann@treequote.com	1	wind-turbine	109	46
heroman@inity.com	1	solar	128	
hfeichtner@groovestreet.com	1	solar	54	14
hfern@groovestreet.com	1	solar	37	
hflister@ontomedia.com	1	solar	17	
hfrancescon@treequote.com	1	solar	48	12
hgibes@labdrill.com	1	wind-turbine	76	17
hheimann@hottechi.com	1	solar	125	33
hhiatt@funholding.com	1	solar	62	
hhidvegi@toughzap.com	1	wind-turbine	91	
hhixenbaugh@mathtouch.com	1	solar	76	
hkeetch@betasoloin.com	1	solar	59	45
hkitty@green-plus.com	1	solar	66	27
hkitty@green-plus.com	2	wind-turbine	66	
hlapage@scotfind.com	1	solar	53	26
hlapage@scotfind.com	2	solar	40	27
hlukasik@betatech.com	1	solar	75	31
hmaynerich@zoomit.com	1	solar	91	49
hmcdoniel@groovestreet.com	1	solar	44	29
hmcnease@finjob.com	1	solar	116	15
hmeteer@newex.com	1	solar	46	
hmiro@toughzap.com	1	solar	140	
hmodzelewski@zathunicon.com	1	solar	158	17
hmonterrubio@isdom.com	1	solar	24	35
hnayar@toughzap.com	1	solar	113	67
hohms@groovestreet.com	1	solar	88	18
hpalaspas@plexzap.com	1	solar	20	13
hpatak@fasehatice.com	1	wind-turbine	55	29
hpatak@fasehatice.com	2	solar	103	28
hperruzza@donquadtech.com	1	solar	24	27
hperruzza@donquadtech.com	2	solar	53	16
hriden@dalttechnology.com	1	wind-turbine	25	26
hriopelle@ron-tech.com	1	solar	42	12
hsaulter@scotfind.com	1	solar	49	16
hschoeneck@donquadtech.com	1	solar	36	27
hscriven@green-plus.com	1	solar	92	29
hscriven@green-plus.com	2	solar	104	24
hsengbusch@goodsilron.com	1	wind-turbine	53	
hshin@donquadtech.com	1	solar	25	100
hstaback@plussunin.com	1	solar	64	
hsuell@donquadtech.com	1	solar	92	26
hsuffield@isdom.com	1	solar	64	
htheodorov@statholdings.com	1	solar	54	38
hthreets@finhigh.com	1	wind-turbine	36	42
hvanausdal@betatech.com	1	solar	162	72
hwitten@year-job.com	1	solar	208	50
iarias@gogozoom.com	1	solar	78	18
ibaltimore@donware.com	1	solar	16	11
icetta@finhigh.com	1	solar	20	107
ichickering@silis.com	1	solar	22	25
icolaizzo@plussunin.com	1	wind-turbine	24	18
icookey@sonron.com	1	wind-turbine	78	115
iferencz@conecom.com	1	solar	60	
ifrerking@groovestreet.com	1	solar	44	17
ifrerking@groovestreet.com	2	solar	102	31
ifrey@yearin.com	1	solar	17	14
ihalsey@dontechi.com	1	solar	195	77
ijayson@domzoom.com	1	solar	47	
ijayson@domzoom.com	2	solar	81	39
ijurney@hottechi.com	1	solar	22	
ikarpel@dontechi.com	1	solar	59	23
iknipp@zotware.com	1	wind-turbine	48	26
iknipp@zotware.com	2	solar	23	
iknipp@zotware.com	3	wind-turbine	70	37
ilary@bioholding.com	1	wind-turbine	71	58
imalvin@toughzap.com	1	solar	142	
imartabano@dambase.com	1	wind-turbine	56	41
imerced@nam-zim.com	1	solar	100	15
inestle@fasehatice.com	1	solar	47	16
ioles@fasehatice.com	1	wind-turbine	33	
ionofrio@scotfind.com	1	solar	37	21
irhoden@yearin.com	1	solar	153	62
isayaphon@finjob.com	1	wind-turbine	77	91
isuffield@gogozoom.com	1	solar	91	85
ivonasek@plussunin.com	1	solar	18	21
iweirather@singletechno.com	1	solar	31	19
jabdallah@dalttechnology.com	1	wind-turbine	15	
jabdallah@sonron.com	1	solar	22	18
jacuff@groovestreet.com	1	solar	34	23
jacuff@groovestreet.com	2	wind-turbine	53	
jagramonte@stanredtax.com	1	solar	36	11
jamigon@yearin.com	1	solar	46	36
jamyot@groovestreet.com	1	solar	47	16
jamyot@konmatfix.com	1	wind-turbine	19	58
jarceo@konex.com	1	wind-turbine	96	15
jarceo@scotfind.com	1	solar	45	21
jarias@scottech.com	1	solar	24	75
jauffrey@stanredtax.com	1	wind-turbine	53	39
jbaltimore@green-plus.com	1	solar	17	92
jbeech@scottech.com	1	solar	81	
jbenimadho@condax.com	1	solar	24	38
jbenimadho@condax.com	2	solar	59	
jbenimadho@condax.com	3	solar	82	19
jbenimadho@condax.com	4	solar	140	36
jbennick@donquadtech.com	1	solar	151	63
jbilden@fasehatice.com	1	solar	36	24
jbilden@fasehatice.com	2	wind-turbine	87	18
jbitsuie@ganjaflex.com	1	solar	94	35
jblunk@dalttechnology.com	1	solar	211	54
jbookamer@sonron.com	1	solar	74	11
jboulter@betasoloin.com	1	solar	21	19
jbriddick@toughzap.com	1	solar	20	17
jbruschke@scottech.com	1	wind-turbine	62	27
jcaldarera@plussunin.com	1	solar	127	24
jcaldarera@stanredtax.com	1	wind-turbine	158	11
jcalvaresi@bioplex.com	1	solar	99	16
jcalvaresi@funholding.com	1	solar	85	31
jcampain@plusstrip.com	1	solar	191	120
jcandlish@bioplex.com	1	solar	63	13
jcandlish@ontomedia.com	1	wind-turbine	115	98
jcanlas@konmatfix.com	1	solar	193	62
jcantres@sonron.com	1	solar	23	40
jcantres@yearin.com	1	solar	120	50
jcastros@konmatfix.com	1	wind-turbine	76	32
jchaffins@kan-code.com	1	solar	108	23
jchickering@bioplex.com	1	solar	22	14
jclaucherty@condax.com	1	solar	82	
jcolla@silis.com	1	solar	30	36
jcolla@zoomit.com	1	solar	80	
jcomnick@scottech.com	1	solar	50	
jcorrington@treequote.com	1	solar	54	19
jcorrington@treequote.com	2	solar	57	24
jdaufeldt@y-corporation.com	1	solar	43	
jdegroot@bioholding.com	1	solar	56	151
jdhamer@dontechi.com	1	solar	17	20
jdhamer@dontechi.com	2	wind-turbine	45	48
jdopico@streethex.com	1	wind-turbine	22	
jdorshorst@scotfind.com	1	solar	18	48
jdrymon@lexiqvolax.com	1	solar	68	14
jdrymon@plussunin.com	1	solar	59	54
jduenas@scottech.com	1	solar	60	
jeroman@isdom.com	1	wind-turbine	71	20
jeroman@isdom.com	2	solar	81	19
jfallick@streethex.com	1	solar	18	19
jfarrar@green-plus.com	1	solar	46	26
jfarrow@finjob.com	1	solar	19	50
jfarrow@konmatfix.com	1	solar	108	
jfigeroa@bioplex.com	1	solar	204	82
jfishburne@xx-holding.com	1	solar	76	14
jfortino@fasehatice.com	1	solar	71	17
jfrancescon@nam-zim.com	1	solar	72	48
jgellinger@dontechi.com	1	solar	22	39
jgellinger@kan-code.com	1	solar	38	27
jgellinger@treequote.com	1	solar	19	41
jgesick@codehow.com	1	solar	20	13
jgillaspie@streethex.com	1	solar	107	31
jgochal@hottechi.com	1	solar	23	17
jgochal@plussunin.com	1	wind-turbine	22	
jgrenet@goodsilron.com	1	solar	45	47
jgrenet@goodsilron.com	2	solar	16	
jhalsey@labdrill.com	1	solar	16	
jhalter@faxquote.com	1	wind-turbine	51	42
jhamilton@rangreen.com	1	solar	16	82
jharnos@zencorporation.com	1	solar	25	22
jhauenstein@conecom.com	1	solar	58	28
jheintzman@goodsilron.com	1	solar	296	
jhochard@xx-holding.com	1	solar	28	
jhoffis@streethex.com	1	solar	63	55
jhoneywell@rundofase.com	1	solar	68	44
jhudnall@rundofase.com	1	solar	66	89
jhudnall@streethex.com	1	solar	47	
jhusser@doncon.com	1	solar	73	17
jjuhas@doncon.com	1	solar	49	27
jjuvera@gogozoom.com	1	solar	148	34
jkardas@green-plus.com	1	solar	110	33
jkardas@green-plus.com	2	solar	24	21
jkeener@blackzim.com	1	solar	67	11
jketelsen@treequote.com	1	solar	68	
jkiel@hatfan.com	1	solar	86	22
jklimek@silis.com	1	solar	77	14
jklusman@openlane.com	1	solar	16	
jklusman@plusstrip.com	1	solar	77	
jkohl@plusstrip.com	1	solar	63	
jkohl@plusstrip.com	2	solar	52	10
jkolmetz@donware.com	1	solar	196	55
jkonopacki@sonron.com	1	wind-turbine	143	
jkorando@kinnamplus.com	1	solar	22	
jkownacki@donquadtech.com	1	solar	70	21
jkusko@scotfind.com	1	solar	183	38
jlace@zumgoity.com	1	wind-turbine	42	17
jlapage@codehow.com	1	solar	41	27
jlatzke@donquadtech.com	1	solar	21	22
jlawler@donware.com	1	solar	41	34
jlipke@lexiqvolax.com	1	solar	77	10
jlipke@zotware.com	1	solar	99	
jloader@ganjaflex.com	1	solar	240	
jloder@dalttechnology.com	1	solar	131	
jlother@golddex.com	1	solar	54	20
jlueckenbach@rundofase.com	1	solar	93	
jlungren@faxquote.com	1	solar	100	16
jlungren@y-corporation.com	1	solar	108	22
jmaclead@rundofase.com	1	solar	72	43
jmaisto@domzoom.com	1	solar	147	107
jmalvin@kinnamplus.com	1	solar	21	
jmalvin@scottech.com	1	solar	19	
jmanno@plexzap.com	1	wind-turbine	72	46
jmarrier@toughzap.com	1	solar	20	10
jmconnell@donware.com	1	solar	38	39
jmconnell@donware.com	2	solar	83	
jmcrae@newex.com	1	solar	17	
jmeinerding@rantouch.com	1	solar	29	
jmelnyk@codehow.com	1	wind-turbine	88	19
jmonarrez@warephase.com	1	solar	79	16
jmondella@konex.com	1	wind-turbine	20	27
jmotley@plusstrip.com	1	wind-turbine	36	19
jmotley@rundofase.com	1	solar	81	
jmotley@streethex.com	1	solar	106	31
jmoyd@condax.com	1	solar	137	65
jmulqueen@year-job.com	1	solar	137	
jmunis@iselectrics.com	1	solar	75	
jneither@green-plus.com	1	solar	74	25
jnicolozakes@nam-zim.com	1	solar	148	
johms@plussunin.com	1	solar	46	
jonofrio@finhigh.com	1	solar	41	
jostolaza@xx-zobam.com	1	solar	57	16
jostolaza@xx-zobam.com	2	solar	23	40
jostrosky@bioplex.com	1	solar	38	15
jpagliuca@yearin.com	1	solar	95	90
jpapasergi@condax.com	1	solar	70	20
jperin@betasoloin.com	1	solar	23	
jpolidori@singletechno.com	1	solar	94	
jpontoriero@dontechi.com	1	solar	20	26
jpontoriero@ontomedia.com	1	solar	93	18
jpugh@plexzap.com	1	solar	73	29
jpugh@plexzap.com	2	solar	103	33
jrauser@dalttechnology.com	1	wind-turbine	46	58
jrauser@streethex.com	1	wind-turbine	45	
jraymo@gogozoom.com	1	solar	97	25
jreitler@condax.com	1	solar	19	67
jrestrepo@doncon.com	1	solar	29	19
jrim@konmatfix.com	1	solar	101	
jrim@konmatfix.com	2	solar	20	16
jriopelle@scottech.com	1	wind-turbine	19	
jrodefer@y-corporation.com	1	solar	63	14
jrulapaugh@domzoom.com	1	solar	22	
jrulapaugh@domzoom.com	2	solar	37	
jryser@golddex.com	1	solar	20	
jsamu@xx-holding.com	1	solar	79	
jsarbacher@newex.com	1	solar	76	152
jscheyer@zumgoity.com	1	solar	59	17
jschieler@green-plus.com	1	solar	19	62
jschieler@scottech.com	1	solar	206	80
jschmierer@konex.com	1	solar	63	
jscipione@sonron.com	1	solar	119	19
jscriven@donquadtech.com	1	wind-turbine	24	32
jseewald@domzoom.com	1	solar	88	17
jsergi@xx-zobam.com	1	solar	50	84
jshadrick@inity.com	1	solar	86	
jshire@domzoom.com	1	solar	138	38
jshire@domzoom.com	2	solar	110	17
jslayton@inity.com	1	solar	74	
jslayton@zotware.com	1	solar	99	
jspickerman@donquadtech.com	1	solar	54	45
jstaback@konmatfix.com	1	solar	95	
jstaback@ron-tech.com	1	solar	95	
jsteffensmeier@konex.com	1	solar	117	
jsteffensmeier@ron-tech.com	1	solar	22	58
jstem@y-corporation.com	1	solar	19	18
jstenseth@blackzim.com	1	solar	72	
jstorment@singletechno.com	1	solar	94	37
