email	household_type	footage	heating_temp	cooling_temp	postal_code	utilities
cmonarrez@golddex.com	condominium	47	74		93390	electric,gas
cmorasca@konex.com	apartment	568	69	74	03247	electric,liquid fuel
cmorocco@codehow.com	townhome	1033	73	73	75224	electric,steam
cmorocco@donware.com	apartment	86	72	70	33994	
cmugnolo@zumgoity.com	apartment	559	68	73	43040	
cmulqueen@domzoom.com	house	1687	69	72	20426	electric
cmulqueen@hatfan.com	apartment	933	75	72	56549	gas
cmunis@betasoloin.com	apartment	694	77		80814	electric
cnachor@lexiqvolax.com	apartment	143		74	21078	liquid fuel
cnachor@sumace.com	house	1431	72	70	45327	electric
cneither@singletechno.com	apartment	1016	71	72	45699	electric,gas
cneither@xx-zobam.com	house	1333	75	73	54119	
cneither@year-job.com	apartment	936	65	71	78619	
cnestle@toughzap.com	townhome	560			16512	
cnewville@gogozoom.com	apartment	2884	67	73	95482	gas
cnewville@inity.com	house	1596	76		10156	electric,gas
cnicka@bioplex.com	apartment	970	77		43962	electric,gas
cnunlee@streethex.com	townhome	1379		73	31313	gas
conofrio@domzoom.com	house	2453		72	71221	
costolaza@zumgoity.com	house	1304	66	76	96706	electric
costrosky@newex.com	apartment	830	64	72	58300	electric,gas,liquid fuel
costrosky@plusstrip.com	tiny house	9	74	71	17779	electric
cpaa@ontomedia.com	apartment	1140	74	76	16052	electric,gas
cpaa@stanredtax.com	house	1258	68	74	05765	electric,gas
cpaa@warephase.com	house	2200	73	74	48710	liquid fuel
cpalaia@opentech.com	house	84	71	72	49312	
cpalaspas@ron-tech.com	apartment	390		72	40940	
cpalaspas@xx-holding.com	house	1487	73	72	83541	
cparlato@zencorporation.com	townhome	1621	74		28404	electric,liquid fuel
cpatak@isdom.com	house	710	75		39303	electric,liquid fuel
cpatak@streethex.com	house	615	76	72	39475	electric
cpatak@y-corporation.com	house	1533	66		49002	gas
cpaulas@konex.com	house	558	73		07747	liquid fuel
cpaulas@streethex.com	townhome	109	64		00955	electric
cpawlowicz@ganjaflex.com	condominium	1396	69		23115	
cpedrozo@plussunin.com	townhome	609	72	69	78873	
cperez@blackzim.com	modular home	232	74	72	46110	
cperez@doncon.com	tiny house	298	74		91413	electric
cperez@finhigh.com	apartment	987	69	69	97396	gas
cperez@opentech.com	modular home	786	72		04003	liquid fuel,steam
cperigo@blackzim.com	condominium	602	74	71	30917	
cperigo@goodsilron.com	house	1993	71	69	72107	
cpinilla@betatech.com	apartment	851	72		20392	gas
cplumer@bioholding.com	townhome	1794	75		10308	
cplumer@statholdings.com	townhome	2069	74	74	16936	electric,gas
cpolidori@zumgoity.com	apartment	747	73		01890	
cpoquette@treequote.com	house	735	73	74	13832	liquid fuel
cradde@domzoom.com	house	773	67	71	29576	electric
cradde@finjob.com	apartment	411	76	71	90005	
cragel@nam-zim.com	apartment	1852	72	76	10583	electric
cragel@yearin.com	house	3457	76	72	71663	electric,gas
creiber@ganjaflex.com	house	1816	65		85359	electric,gas
crentfro@domzoom.com	townhome	698	71		54521	electric,gas
crhym@betatech.com	townhome	2221	72	72	57770	gas
crhym@year-job.com	apartment	538	74		72821	
crhymes@scottech.com	apartment	811	76		24736	electric,liquid fuel
crim@green-plus.com	house	2832	74	70	66830	gas
crim@zotware.com	apartment	802	73	70	35050	electric,gas
criopelle@zoomit.com	apartment	167	78		41015	electric,gas
crodefer@silis.com	house	622	70		54416	
crodeigues@nam-zim.com	modular home	419	69	71	23520	electric,gas,steam
crodenberger@groovestreet.com	townhome	654	75	73	07845	electric,liquid fuel
crulapaugh@domzoom.com	house	3061	73	72	57683	steam
cruta@finjob.com	house	214	74		10956	
cryser@ontomedia.com	house	1504	74	70	06489	liquid fuel
cryser@y-corporation.com	apartment	1018			21028	
csamara@conecom.com	condominium	2300	74	71	83808	liquid fuel,steam
csamara@domzoom.com	modular home	263	73		65457	electric,gas
csarao@plexzap.com	apartment	836	73	70	51015	gas,steam
csarao@scotfind.com	apartment	1327	73	75	12839	electric,liquid fuel
csaras@finhigh.com	apartment	96	72	74	70646	electric,gas
csaulter@plexzap.com	house	1381	70	73	17509	
csayaphon@plexzap.com	apartment	439	70	72	12793	electric
csaylors@dambase.com	apartment	1106	75	73	64139	electric,gas,liquid fuel
csaylors@singletechno.com	house	1313			35603	electric
cschemmer@silis.com	apartment	152	70	73	36420	electric,gas
cschemmer@toughzap.com	house	722		72	54934	gas
cschemmer@xx-zobam.com	apartment	1041	76		81130	electric
cscheyer@fasehatice.com	apartment	3132	71	69	92557	electric
cscheyer@groovestreet.com	apartment	483	74	71	30237	steam
cschieler@streethex.com	house	1311	68	69	29078	electric,liquid fuel
cschirpke@betasoloin.com	apartment	451			30529	
cschmierer@condax.com	townhome	1180	69	70	79540	electric,gas
cschnitzler@rundofase.com	apartment	880	74	72	61641	gas,liquid fuel
cschoeneck@finjob.com	house	1574	75	71	88042	gas,liquid fuel
cscipione@konmatfix.com	apartment	1553	71	76	22333	electric
cscriven@isdom.com	house	728	71	72	40037	gas
cseewald@rundofase.com	house	708	72	71	75110	electric,gas
csemidey@iselectrics.com	condominium	997	73	72	17001	electric
csemidey@konmatfix.com	apartment	1110	70	72	22486	electric,gas,liquid fuel
csergi@zathunicon.com	apartment	411	67		39357	gas
cshealy@hatfan.com	apartment	551	68		55175	electric,liquid fuel
cshealy@zumgoity.com	condominium	949	75	70	83853	gas
cshields@donquadtech.com	house	2675	74	75	32461	gas
cshields@iselectrics.com	house	633			79511	electric
cshin@year-job.com	modular home	299		74	40746	electric,gas
cshinko@toughzap.com	house	2474	70	74	20222	
cshire@plexzap.com	house	1630		74	39304	
cshire@yearin.com	townhome	1737	70		27024	electric,gas,steam
cskulski@conecom.com	apartment	580	69		48380	gas
cskulski@donquadtech.com	apartment	868	71	71	57468	electric,gas
cskursky@dalttechnology.com	apartment	1289	68	72	68135	gas,liquid fuel
cskursky@zotware.com	house	1541	77	75	44659	electric,gas,steam
cslayton@rantouch.com	townhome	2031	70	69	92312	electric
cslayton@zathunicon.com	townhome	1364	75	72	29680	
csmith@inity.com	house	553	74	70	04672	
csmith@plusstrip.com	apartment	76	76	72	44096	liquid fuel
csmith@sonron.com	apartment	1214	76		59444	electric
cspickerman@kan-code.com	townhome	2114	75	74	03741	
csteffensmeier@scotfind.com	house	788	76	76	78224	electric
csteier@bioplex.com	house	1468	68		14487	electric
csteier@goodsilron.com	apartment	667	70		48411	liquid fuel
csteier@year-job.com	apartment	1060	68		52757	electric
cstem@donware.com	house	881	71	74	79018	gas
cstockham@zotware.com	apartment	393	68	75	79786	
cstoltzman@hatfan.com	apartment	724	71	70	24834	
cstorment@codehow.com	apartment	801	66	73	30305	gas
cstorment@scotfind.com	house	748	69	69	57053	electric
cstorment@zoomit.com	house	1474	67		78680	
cstuer@faxquote.com	house	2134	67	74	28105	electric
csuell@codehow.com	apartment	391	71	69	67360	electric,gas
csweely@scotfind.com	townhome	1075	76		64446	electric,gas
csweigard@statholdings.com	apartment	771	71	72	40037	electric
ctagala@goodsilron.com	house	1446	72		27102	electric
ctagala@j-texon.com	apartment	561	76	75	44033	electric,gas,liquid fuel
ctegarden@golddex.com	townhome	1065	73	75	20643	
ctegarden@scottech.com	townhome	122	71	73	32963	electric,gas,liquid fuel
cthyberg@bioholding.com	house	1513	68	76	10506	electric
cthyberg@scottech.com	apartment	2332	70	71	31424	electric
ctoelkes@goodsilron.com	townhome	1263	72	76	01902	electric,liquid fuel
ctomasulo@conecom.com	house	2597	70	73	72010	electric
ctomasulo@gogozoom.com	house	1244			23115	
ctomasulo@hottechi.com	apartment	483	71	69	55005	electric,gas,steam
ctomasulo@plexzap.com	house	1361	76		97144	
ctomblin@silis.com	modular home	198	71	72	07054	electric
ctomblin@statholdings.com	house	535	75	74	62713	electric,gas
ctreston@dontechi.com	modular home	478	72	72	54174	gas
ctromblay@cancity.com	house	216	68	73	19080	gas
cuyetake@bioplex.com	house	1285	68	72	60804	electric,gas
cuyetake@groovestreet.com	townhome	3317	68		75693	electric
cvanausdal@opentech.com	townhome	1345	67		26229	electric
cvanheusen@domzoom.com	apartment	1597	66	73	85332	
cvanheusen@xx-holding.com	apartment	873	75		35011	gas,liquid fuel
cvanheusen@zencorporation.com	apartment	485	71	76	40150	liquid fuel
cventura@groovestreet.com	apartment	531	75	74	74331	electric,liquid fuel
cvinning@isdom.com	condominium	1364	73	73	74015	steam
cvinning@sonron.com	house	592	75	71	95352	electric,gas,steam
cvonasek@dambase.com	apartment	1550	72	70	72416	electric,liquid fuel,steam
cwalthall@singletechno.com	apartment	819	76	70	73111	gas
cwaycott@blackzim.com	modular home	681	72		77399	electric
cwaycott@nam-zim.com	townhome	2180	77	74	53033	electric,gas
cwaycott@rangreen.com	house	1349	71		57068	electric
cwaycott@year-job.com	house	2764	68	69	36062	liquid fuel
cweglarz@rundofase.com	townhome	1731	76	72	29861	electric,steam
cweglarz@treequote.com	apartment	906		76	35297	gas
cweirather@openlane.com	modular home	767	67	73	67859	gas
cwenner@goodsilron.com	apartment	676		76	19525	gas
cwenner@rangreen.com	townhome	781	76		06779	electric
cwhobrey@streethex.com	condominium	590	69	76	29066	electric
cwieser@betasoloin.com	apartment	847	70	73	13069	
cwolfgramm@groovestreet.com	house	1488	74	75	92196	
cwolny@labdrill.com	condominium	536	74	75	66618	electric,gas
cworlds@doncon.com	modular home	203	72		45661	
cworlds@zencorporation.com	house	1196	75		32056	electric
cwrinkles@stanredtax.com	house	1332	70	76	13652	gas,liquid fuel
cyaw@streethex.com	house	1400	73		31909	electric,gas,liquid fuel
czagen@ron-tech.com	apartment	1138	69	71	07092	
czane@iselectrics.com	townhome	2251		72	23479	gas
czepp@sonron.com	house	1650			08848	electric
czurcher@betatech.com	townhome	1437			61372	electric,liquid fuel
dabdallah@plusstrip.com	house	509	74	74	21813	
dacuff@warephase.com	townhome	686	72		82427	electric
dadkin@funholding.com	house	252	72	71	60532	electric,liquid fuel
dagramonte@mathtouch.com	apartment	1765	68	72	49430	gas
dahle@green-plus.com	apartment	182	70	74	30412	
dahle@plusstrip.com	modular home	117	74		15620	
dahle@rangreen.com	house	739	73	71	33070	electric
dalbares@plexzap.com	apartment	926		76	68702	electric,gas
damyot@plexzap.com	house	593	69	74	14217	electric,gas,liquid fuel
dankeny@isdom.com	house	740	70		73567	
darceo@codehow.com	house	2186	71	73	99638	electric,liquid fuel
darceo@iselectrics.com	apartment	303	75	73	47041	gas
dbaltimore@streethex.com	house	888	68	72	43720	electric,gas
dbatman@dalttechnology.com	condominium	1850	72	71	55556	electric
dbatman@fasehatice.com	condominium	1658	71	74	00960	gas,liquid fuel
dbeech@funholding.com	condominium	924	72	73	23085	electric
dbeech@plexzap.com	townhome	686	74	71	15278	gas
dbennick@plussunin.com	house	652			99102	
dberganza@blackzim.com	house	809	67	71	75757	
dberganza@kinnamplus.com	house	705		75	51531	gas
dberganza@labdrill.com	condominium	366	68	74	86510	gas,liquid fuel
dbergesen@xx-holding.com	condominium	136		72	13313	electric
dbevelacqua@kan-code.com	house	2457	75		24514	electric,liquid fuel
dbirkner@lexiqvolax.com	apartment	424	72	71	41204	
dbitsuie@hatfan.com	house	648	69	74	23043	
dblackwood@kinnamplus.com	apartment	324	76		40203	electric,gas,liquid fuel,steam
dbolognia@dalttechnology.com	house	611	71	72	19743	gas
dbrachle@openlane.com	townhome	2060			83433	electric,gas,liquid fuel
dbrideau@singletechno.com	apartment	864	72	71	19038	electric,gas
dbrossart@treequote.com	modular home	354	76	70	24918	electric
dbubash@ontomedia.com	townhome	613	70	74	29555	electric
dbuemi@treequote.com	apartment	1034	75		28010	liquid fuel
dburnard@kan-code.com	townhome	836	69	70	84540	gas
dburnard@statholdings.com	townhome	469	75	69	00971	gas
dbutt@iselectrics.com	house	729	70		97124	gas
dbutt@lexiqvolax.com	apartment	1017	78	76	73859	electric,gas
dbutzen@golddex.com	modular home	460	76	69	35219	electric,gas,liquid fuel
dbuzick@fasehatice.com	townhome	1135	66		99824	
dbuzick@singletechno.com	apartment	380	72	72	38328	electric
dcalvaresi@betatech.com	house	1731	71		28442	electric
dcalvaresi@statholdings.com	house	656	75		94573	electric
dcalvaresi@toughzap.com	apartment	618	76		67456	
dcaudy@finhigh.com	modular home	345	72	70	26415	gas,liquid fuel
dcaudy@kinnamplus.com	apartment	437	74		25211	steam
dchaffins@ron-tech.com	apartment	1230	75	73	24271	electric
dchui@donware.com	house	811		69	32923	electric,gas
dclaucherty@streethex.com	house	1694	67	75	55379	gas
dclaucherty@year-job.com	house	1170	72	73	39668	
dcolaizzo@funholding.com	apartment	998	75	73	29656	liquid fuel
dcolla@dontechi.com	apartment	1595	72	72	27565	electric,liquid fuel
dcolla@statholdings.com	house	747	72	69	97258	electric,liquid fuel
dcomnick@dontechi.com	house	3378	74	70	25722	electric
dcookey@zumgoity.com	house	2299	70	72	43964	gas
dcorbley@ganjaflex.com	apartment	556	71	72	63024	gas
dcorbley@treequote.com	condominium	1098	73		26537	gas
dcork@sumace.com	apartment	1937	73	70	81415	electric,gas,liquid fuel,steam
dcorrio@faxquote.com	apartment	500	78	73	92064	
dcorrio@sunnamplex.com	apartment	672	68	72	74937	gas
dcronauer@toughzap.com	townhome	1084	71		93902	electric,gas
dcrupi@konmatfix.com	modular home	337	68	73	72905	electric
ddegonia@doncon.com	apartment	482		74	71080	
ddenooyer@blackzim.com	apartment	734		74	10031	gas
ddewar@ganjaflex.com	house	1056	70	75	55596	
ddewar@y-corporation.com	condominium	1141	69	73	97109	steam
ddhamer@iselectrics.com	house	1522	66	73	53216	gas
ddickerson@bioplex.com	townhome	586		72	00803	electric
ddilello@yearin.com	apartment	1815	74	71	18355	electric
ddinos@domzoom.com	apartment	667	76	75	59638	gas
ddinos@plussunin.com	modular home	436	75		94203	electric
ddinos@scottech.com	house	633	72	70	80632	electric,gas,liquid fuel,steam
ddinos@sumace.com	house	1660	74	73	58030	electric
ddiscipio@opentech.com	apartment	395	76	72	02655	electric,liquid fuel
ddorshorst@rundofase.com	apartment	333		75	46347	gas,liquid fuel
ddrymon@gogozoom.com	apartment	551	74	72	67860	gas
ddrymon@ron-tech.com	condominium	1159	72		40070	
ddubaldi@conecom.com	house	676	71	75	78728	steam
ddubaldi@statholdings.com	house	786		74	97208	electric
deanes@faxquote.com	house	3159	77		72315	gas,steam
demard@scotfind.com	apartment	655	68		25410	electric,gas,steam
dennaco@konex.com	house	1479	71	69	46504	
deschberger@groovestreet.com	house	1545	73		44693	gas,liquid fuel
dfallick@condax.com	apartment	766	70	76	02833	gas
dfarrow@betatech.com	apartment	724	69		42371	
dfarrow@labdrill.com	apartment	937	72		64724	electric,gas,liquid fuel
dfeichtner@sunnamplex.com	condominium	200	73	70	46298	electric,gas
dfern@konmatfix.com	apartment	816	71		40162	electric
dferrario@iselectrics.com	condominium	1257	70	69	23313	electric,gas,liquid fuel,steam
dferrario@y-corporation.com	modular home	27	70	72	00735	electric,gas
dfigeroa@sunnamplex.com	house	2749	68	69	93704	steam
dfishburne@xx-holding.com	apartment	886	77	74	13608	electric
dfoller@sumace.com	house	234	65	76	13134	gas,liquid fuel
dfortino@silis.com	apartment	596	75	70	40372	
dfrancescon@plusstrip.com	apartment	430	65		70114	electric
dfrerking@fasehatice.com	house	781	70	75	17843	liquid fuel
dfrey@dalttechnology.com	house	546	72	73	79164	
dgabisi@scottech.com	apartment	582	67	71	07826	steam
dgarufi@treequote.com	house	124	76	76	31422	steam
dgellinger@donware.com	condominium	1160	76		43731	gas
dgellinger@hottechi.com	apartment	922	65		28729	electric,gas
dgellinger@plussunin.com	townhome	1681			85730	gas
dgibes@nam-zim.com	townhome	213	73	70	29646	electric,steam
dgillian@rantouch.com	house	1373	69		65203	gas
dgleich@konmatfix.com	house	1192	74		83648	electric,gas
dgochal@rundofase.com	townhome	1275	72	72	02920	gas
dgoldammer@scottech.com	townhome	1453	71	72	53957	electric
dgood@ontomedia.com	house	672		69	69154	electric,liquid fuel
dgreenbush@betasoloin.com	house	1154	77	74	35204	gas
dgudroe@domzoom.com	apartment	965			17855	electric,liquid fuel
dhagele@hatfan.com	house	817	73		35142	electric,gas
dhalsey@j-texon.com	house	1168	74	73	20535	electric
dhalsey@konmatfix.com	house	1634	76	76	84657	gas,steam
dhalter@newex.com	modular home	159	72	74	13041	gas
dhalter@singletechno.com	apartment	1547			60181	electric
dharabedian@inity.com	house	561	72	76	66849	electric
dharabedian@sonron.com	townhome	974	76		51246	electric,liquid fuel
dharnos@bioholding.com	townhome	671	74	71	72130	
dharnos@toughzap.com	apartment	1481	73	76	55795	gas
dharnos@zotware.com	house	1332	66	75	62971	gas
dhellickson@plusstrip.com	house	543	70		36759	gas
dhiatt@ontomedia.com	apartment	112	76		04923	electric
dhidvegi@toughzap.com	apartment	1250	73		19103	gas
dhirpara@scotfind.com	townhome	1739	74		04457	gas
dhoa@iselectrics.com	townhome	143	74	72	49069	gas
dhoffis@bioholding.com	apartment	1077	66	75	64168	electric
dhoogland@green-plus.com	apartment	526	75		93311	electric
dhoopengardner@domzoom.com	apartment	853	78		90306	
dhoopengardner@statholdings.com	house	768	67	69	32560	
dhusser@donquadtech.com	apartment	405	66		53536	gas
diturbide@dontechi.com	house	1947		73	62532	electric
diturbide@rangreen.com	apartment	1205	73	72	88431	gas,steam
diturbide@toughzap.com	apartment	950	65	72	61742	gas,liquid fuel
diturbide@yearin.com	apartment	1420	74		79159	electric,gas,steam
djacobos@domzoom.com	modular home	661	72	71	43142	electric
djeanty@opentech.com	apartment	617	64		35984	liquid fuel
djillson@conecom.com	modular home	164	74	73	91499	electric,gas
djulia@cancity.com	townhome	1731	74	73	27419	
djurney@stanredtax.com	apartment	524			64830	electric
dkalafatis@labdrill.com	apartment	634	73	73	05345	gas
dkampa@hottechi.com	townhome	2435			36690	electric,liquid fuel
dkaniecki@sumace.com	apartment	1476	65		93022	electric,liquid fuel
dkarpin@conecom.com	apartment	106	75	71	64756	
dkeener@kinnamplus.com	modular home	197	67	73	39564	electric,gas
dkeneipp@lexiqvolax.com	house	1161	73	74	72387	
dketelsen@y-corporation.com	house	684	71		62762	electric,gas
dkiel@funholding.com	house	787	73	76	08328	electric
dkippley@dontechi.com	house	87	76	73	33151	gas
dkippley@iselectrics.com	apartment	765	73	74	62422	gas
dkippley@scotfind.com	modular home	330	66		00929	liquid fuel
dkippley@sonron.com	townhome	1236		73	48124	electric,gas
dklusman@openlane.com	townhome	2291	70	73	76555	electric,gas
dknipp@plexzap.com	apartment	466	73		19601	gas,liquid fuel
dkohnert@j-texon.com	apartment	877	77	73	95923	gas
dkonopacki@zencorporation.com	townhome	703	75		73119	electric
dlabreche@betatech.com	apartment	1143	77		23920	gas
dlace@hottechi.com	tiny house	145	70	72	66283	electric
dlayous@kan-code.com	house	740	75		20380	electric,gas
dlietz@zoomit.com	modular home	346	69		68740	
dlinahan@conecom.com	house	1284	76		37356	electric,gas
dlindall@bioholding.com	tiny house	204	64	74	77503	electric,gas
dlipke@sumace.com	house	3390	70		80649	gas
dliukko@bioholding.com	house	1095		76	50950	liquid fuel
dliukko@rundofase.com	house	223	77	69	98626	liquid fuel
dlizama@lexiqvolax.com	apartment	724	66		21241	liquid fuel
dloader@nam-zim.com	house	1474	74	75	98185	electric,gas
dloder@lexiqvolax.com	apartment	1165	75	76	28371	liquid fuel
dlukasik@statholdings.com	townhome	997	75	74	40524	
dmadarang@ganjaflex.com	condominium	116	76	70	46915	electric
dmaile@sunnamplex.com	house	638		72	90714	gas,liquid fuel
dmaisto@dalttechnology.com	house	1165		76	20131	gas
dmaisto@singletechno.com	apartment	514	69	74	48275	electric,liquid fuel
dmaisto@toughzap.com	townhome	1795	71	73	47373	
dmanno@inity.com	house	1559		72	59463	electric
dmanno@j-texon.com	apartment	505	72	74	53594	steam
dmarrier@newex.com	house	1643		71	78833	electric,liquid fuel
dmarrier@rundofase.com	apartment	822	72		75938	electric,gas
dmastella@donquadtech.com	apartment	818	70	71	59716	
dmastella@fasehatice.com	modular home	20	70	74	30577	
dmastella@funholding.com	apartment	791	69		32004	steam
dmastella@kinnamplus.com	apartment	701	76		97567	electric,gas
dmastella@xx-holding.com	modular home	136			13452	electric,gas
dmauson@openlane.com	apartment	436	74		90082	electric
dmccullan@y-corporation.com	apartment	821	71	74	17252	
dmeinerding@rangreen.com	modular home	394	68	73	23139	gas
dmeisel@kan-code.com	apartment	804	74	73	84652	electric,gas
dmenter@cancity.com	house	597	74	75	40578	electric
dmenter@ontomedia.com	townhome	967	74		35260	electric,liquid fuel
dmiceli@ganjaflex.com	townhome	626			08829	electric
dmirafuentes@bioholding.com	house	85	72		07182	gas
dmonarrez@cancity.com	apartment	553	73	68	39754	electric
dmonterrubio@newex.com	house	135	75	71	55384	gas,liquid fuel
dmontezuma@kan-code.com	apartment	689	78	73	45064	electric
dmorasca@toughzap.com	apartment	858		70	18405	gas
dmorocco@y-corporation.com	apartment	1151	70	68	45403	electric
dmoyd@kan-code.com	house	888	75		25855	gas,steam
dmugnolo@donquadtech.com	apartment	2078	76	75	54929	
dmugnolo@ontomedia.com	apartment	959	71		46133	electric,gas
dmunns@doncon.com	apartment	584	72	70	16725	electric
dmunns@ontomedia.com	condominium	1357	69		54418	gas,steam
dnabours@plussunin.com	house	1370	71	72	50611	electric,gas
dnabours@warephase.com	apartment	1001	68	75	73165	
dnachor@toughzap.com	apartment	453	73	74	24832	
dneither@gogozoom.com	apartment	538	76		53110	electric,gas
dnicolozakes@dontechi.com	apartment	960	78	73	47983	
dnicolozakes@kinnamplus.com	apartment	2050	75		79740	gas
dogg@openlane.com	townhome	1701	77	74	33482	electric
dohms@inity.com	house	674	76		06384	steam
dohms@opentech.com	house	156	72	72	33521	electric
doles@doncon.com	tiny house	108		73	61518	gas
doles@hottechi.com	house	1417	78	69	20268	electric,gas
donofrio@fasehatice.com	apartment	1234			27370	
dostolaza@zoomit.com	modular home	177	70	72	04858	gas
dpadilla@inity.com	townhome	1157	69	72	15549	gas
dpalaia@sumace.com	condominium	1636	70	70	47612	electric
dpalaspas@conecom.com	house	294	72		85045	gas
dpapasergi@iselectrics.com	condominium	1982		72	16105	electric,gas
dpaprocki@rangreen.com	townhome	2041	71	71	79057	
dpatak@gogozoom.com	house	1352	71		38844	electric,gas,liquid fuel
dpedrozo@sunnamplex.com	apartment	1717		72	70520	electric,gas,liquid fuel
dpelkowski@singletechno.com	apartment	728	68	74	20470	
dperigo@bioholding.com	house	1284	72		71742	electric
dperruzza@ron-tech.com	house	2247	73		74353	electric
dpinilla@singletechno.com	modular home	695	67		62270	electric,gas
dplumer@cancity.com	house	1495	69	73	45241	gas
dpoquette@goodsilron.com	modular home	285	73	76	68434	gas
dpugh@faxquote.com	apartment	724	75		57243	gas,liquid fuel,steam
dragel@groovestreet.com	house	743	71	72	77447	gas
draymo@mathtouch.com	house	1219	72	74	88039	
dreiber@rangreen.com	townhome	108	71	71	11510	electric
drestrepo@domzoom.com	house	117	72	76	11201	gas
drhoden@groovestreet.com	house	646	74	71	62289	gas
drim@plussunin.com	apartment	859	69	74	67651	electric,gas
driopelle@streethex.com	house	2158	76		15866	electric
drochin@cancity.com	house	776	75	71	38140	electric,gas
drochin@ron-tech.com	house	140	68	70	58445	
drodeigues@scotfind.com	apartment	1239	75		49415	electric
drowling@blackzim.com	house	101		72	48366	electric
drulapaugh@green-plus.com	condominium	969	76		94998	gas
druta@lexiqvolax.com	modular home	447	76	73	91305	electric
druta@scottech.com	modular home	603	72		08104	electric,liquid fuel
dryser@betasoloin.com	townhome	771	71	73	44837	
dryser@betatech.com	apartment	783	68		92604	
dryser@zathunicon.com	house	4076	72	74	28645	liquid fuel
dsamu@zencorporation.com	condominium	1532	73	71	26710	
dsarao@silis.com	apartment	1018	65	73	36079	
dsarbacher@bioplex.com	house	1019	71	70	78339	
dschieler@hatfan.com	house	2432	78		55421	gas
dschmierer@finjob.com	house	539	74	74	47227	gas
dschmierer@labdrill.com	apartment	71	70	73	08055	gas,liquid fuel,steam
dschnitzler@treequote.com	townhome	1093	66		06479	gas
dscipione@conecom.com	condominium	70	75		69365	electric,gas,liquid fuel
dseewald@inity.com	condominium	1510	76		61323	electric,gas
dsergi@ganjaflex.com	house	2936	72	72	18201	
dshadrick@opentech.com	townhome	2055	72		01824	
dshinko@konmatfix.com	apartment	671	69	72	60470	electric
dshinko@zencorporation.com	apartment	3320	74	73	15220	electric,gas
dshire@sonron.com	tiny house	58		69	67235	gas
dskulski@donware.com	condominium	504	70	75	26440	gas
dskulski@toughzap.com	house	2996	69	70	96788	electric
dskulski@warephase.com	house	2154	73	73	50668	electric
dskursky@bioholding.com	modular home	34	67	72	49695	gas
dspickerman@finhigh.com	modular home	361		73	37755	
dspickerman@xx-zobam.com	condominium	1463			51018	liquid fuel
dstaback@betatech.com	apartment	2071	74	75	31409	electric,gas,liquid fuel,steam
dstaback@doncon.com	house	1616	76		49032	liquid fuel
dsteffensmeier@scotfind.com	house	2567	74	75	08330	electric,liquid fuel
dsteier@condax.com	townhome	779	73	76	31715	electric,gas
dsteier@inity.com	house	1192	74	73	43554	gas
dsteier@scottech.com	house	3571	70	74	17014	gas
dstimmel@toughzap.com	modular home	218		72	54669	
dstockham@kan-code.com	condominium	924			77349	electric
dstockham@sumace.com	apartment	1544	75	72	49030	gas
dstorment@zumgoity.com	apartment	787	64	73	80232	electric,gas,liquid fuel
dstrassner@lexiqvolax.com	apartment	606	74	75	92111	electric
dsturiale@kinnamplus.com	condominium	566	70	71	61335	gas
dswayze@rantouch.com	apartment	1831	72		12781	
dsweely@funholding.com	condominium	2286	71		61736	gas
dsyrop@nam-zim.com	apartment	866	76	70	56339	liquid fuel
dtagala@kan-code.com	apartment	884	69	72	66518	
dthyberg@scottech.com	house	2232	72		55590	electric,gas
dtillotson@newex.com	apartment	577	72	75	71403	electric,steam
dtolfree@groovestreet.com	house	1808		73	18473	
dtollner@fasehatice.com	condominium	725	70	72	80468	steam
dtreston@goodsilron.com	house	692		74	42333	gas
dtreston@opentech.com	apartment	1303		73	71018	gas
dtromblay@ron-tech.com	modular home	279	72	75	55310	electric
dvanheusen@hatfan.com	townhome	1953	74		28441	steam
dvillanueva@konex.com	apartment	576	64	72	29319	
dvizarro@singletechno.com	apartment	840	70		33624	
dwardrip@gogozoom.com	modular home	375		74	29923	electric
dwardrip@zencorporation.com	apartment	1179	74	71	66426	electric
dwaymire@bioplex.com	modular home	82	67	74	16258	electric
dweglarz@finjob.com	house	1123	75	72	13633	gas,liquid fuel
dweglarz@isdom.com	apartment	101	73	74	66020	electric,steam
dweirather@codehow.com	house	555	77	72	99333	gas
dwenner@xx-holding.com	apartment	1688	69	72	01582	electric,gas
dwenzinger@zoomit.com	condominium	1698		71	16221	electric
dwhobrey@rangreen.com	apartment	1085	76	75	70761	gas,steam
dwieser@lexiqvolax.com	condominium	93	70	71	06702	steam
dwieser@scotfind.com	condominium	748	71	71	40157	electric,steam
dwildfong@opentech.com	condominium	991	72	72	53207	steam
dwolfgramm@warephase.com	apartment	430	72	72	55042	
dworlds@streethex.com	townhome	837	69	70	27962	electric
dwrinkles@dambase.com	house	2396	69		34217	electric
dyaw@condax.com	apartment	653	76	70	42320	
dyglesias@ontomedia.com	townhome	2661	72	74	95410	liquid fuel
dyori@iselectrics.com	modular home	32	71		40010	
dyum@plusstrip.com	condominium	437	70		71857	
dzepp@isdom.com	condominium	784	73	73	07024	gas
dzepp@iselectrics.com	apartment	518	70		76177	gas
dzepp@labdrill.com	modular home	267	69	73	78757	
eacey@opentech.com	house	720	75		94280	liquid fuel
eagramonte@treequote.com	townhome	1399	73		34448	electric
eamigon@lexiqvolax.com	apartment	463	70	75	08739	electric
eandreason@konex.com	apartment	1435	64		12173	electric
eangalich@donware.com	house	287	71		22718	electric
